timestamp,open,high,low,close,volume
2024-01-01 00:00:00+00:00,42284.0,42547.1,42267.6,42476.0,2058.58609456
2024-01-01 01:00:00+00:00,42472.1,42772.9,42418.1,42614.0,2832.68069411
2024-01-01 02:00:00+00:00,42614.0,42643.9,42500.8,42581.7,1533.05550259
2024-01-01 03:00:00+00:00,42581.8,42606.4,42237.7,42329.1,3317.39159282
2024-01-01 04:00:00+00:00,42335.6,42398.1,42203.2,42398.0,3144.45126449
2024-01-01 05:00:00+00:00,42398.1,42402.3,42194.1,42241.0,2526.90480316
2024-01-01 06:00:00+00:00,42239.6,42423.9,42206.3,42392.4,1653.43498832
2024-01-01 07:00:00+00:00,42392.6,42504.4,42392.5,42485.6,2136.14578109
2024-01-01 08:00:00+00:00,42495.3,42558.9,42456.0,42553.5,1406.35561344
2024-01-01 09:00:00+00:00,42553.5,42694.9,42534.0,42655.0,2366.78991783
2024-01-01 10:00:00+00:00,42650.1,42750.0,42627.3,42688.4,2014.58364198
2024-01-01 11:00:00+00:00,42688.4,42760.1,42602.1,42689.5,1304.4596088
2024-01-01 12:00:00+00:00,42694.7,42773.9,42616.0,42648.2,1664.61142765
2024-01-01 13:00:00+00:00,42651.4,42747.3,42616.8,42725.6,1106.5733069
2024-01-01 14:00:00+00:00,42724.5,42724.5,41575.6,42613.6,2202.83114162
2024-01-01 15:00:00+00:00,42610.2,42848.0,42584.1,42772.9,2355.70597279
2024-01-01 16:00:00+00:00,42781.4,42850.0,42662.9,42715.8,3981.12253815
2024-01-01 17:00:00+00:00,42715.9,42826.0,42704.6,42813.4,1333.34626989
2024-01-01 18:00:00+00:00,42813.5,43208.3,42763.2,43110.2,4022.34048471
2024-01-01 19:00:00+00:00,43110.3,43551.3,43100.0,43508.0,4407.39004228
2024-01-01 20:00:00+00:00,43518.7,43840.1,43518.7,43692.7,4324.26951636
2024-01-01 21:00:00+00:00,43694.9,43794.6,43485.7,43612.1,2069.27778584
2024-01-01 22:00:00+00:00,43625.8,43662.0,43378.4,43524.4,887.31769621
2024-01-01 23:00:00+00:00,43524.8,44197.9,43524.8,44188.0,5302.06845782
2024-01-02 00:00:00+00:00,44188.1,45248.0,44153.9,45108.6,8410.87524674
2024-01-02 01:00:00+00:00,45113.8,45387.5,44689.7,44864.2,8897.01884167
