ts,symbol,tf,strategy,side,entry,exit,exit_reason,partial,pnl,rr,bars_open,mfe_atr,mae_atr
915,,,Trend,,,,,False,0.0,1.8,,,
931,,,Trend,,,,sl,False,-18152.126695471947,,,,
