timestamp,open,high,low,close,volume
2023-01-01 00:00:00+00:00,16546.1,16548.0,16523.3,16547.2,6452.00541508
2023-01-01 00:30:00+00:00,16547.1,16547.1,16513.8,16534.9,5062.42244786
2023-01-01 01:00:00+00:00,16533.9,16545.4,16532.6,16538.7,2148.70558842
2023-01-01 01:30:00+00:00,16538.7,16557.5,16537.4,16557.0,3226.72345004
2023-01-01 02:00:00+00:00,16552.1,16558.2,16544.5,16556.9,4746.53475449
2023-01-01 02:30:00+00:00,16557.5,16562.8,16544.7,16551.4,1553.2773714
2023-01-01 03:00:00+00:00,16551.5,16551.5,16524.0,16535.2,2643.42962286
2023-01-01 03:30:00+00:00,16532.2,16540.2,16532.2,16538.7,2188.90843307
2023-01-01 04:00:00+00:00,16538.6,16538.6,16521.4,16524.4,1654.34817658
2023-01-01 04:30:00+00:00,16521.0,16528.2,16516.7,16522.2,2686.19552392
2023-01-01 05:00:00+00:00,16523.3,16525.1,16517.6,16524.0,1113.3926143
2023-01-01 05:30:00+00:00,16525.3,16535.5,16520.4,16534.1,1834.72807333
2023-01-01 06:00:00+00:00,16533.9,16552.0,16533.5,16549.8,2808.68164263
2023-01-01 06:30:00+00:00,16548.9,16549.2,16543.6,16545.0,986.28601146
2023-01-01 07:00:00+00:00,16544.6,16544.6,16504.1,16524.2,3406.15232991
2023-01-01 07:30:00+00:00,16522.1,16533.6,16508.8,16533.6,3296.791329
2023-01-01 08:00:00+00:00,16531.1,16535.3,16517.0,16524.6,2419.48432983
2023-01-01 08:30:00+00:00,16524.6,16526.8,16511.0,16514.4,996.64016083
2023-01-01 09:00:00+00:00,16514.4,16522.5,16510.0,16517.8,1685.9022037
2023-01-01 09:30:00+00:00,16517.9,16544.8,16517.9,16544.4,4258.59644978
2023-01-01 10:00:00+00:00,16543.8,16548.3,16539.1,16547.7,1547.42252488
2023-01-01 10:30:00+00:00,16547.6,16549.0,16538.6,16549.0,1452.29231208
2023-01-01 11:00:00+00:00,16549.3,16554.5,16543.8,16546.6,2494.7277785
2023-01-01 11:30:00+00:00,16545.5,16558.4,16545.5,16558.4,2597.10238933
2023-01-01 12:00:00+00:00,16558.5,16571.7,16554.3,16567.4,3506.71079991
2023-01-01 12:30:00+00:00,16567.4,16573.9,16558.3,16563.0,1360.26542884
2023-01-01 13:00:00+00:00,16563.1,16567.3,16546.6,16549.4,1944.43024048
2023-01-01 13:30:00+00:00,16549.4,16552.4,16543.2,16547.9,2055.64173759
2023-01-01 14:00:00+00:00,16547.9,16555.7,16547.2,16555.7,1938.89477818
2023-01-01 14:30:00+00:00,16556.0,16556.9,16545.5,16545.6,489.7855277
2023-01-01 15:00:00+00:00,16545.6,16549.6,16537.7,16544.0,1315.66584454
2023-01-01 15:30:00+00:00,16544.1,16559.9,16544.1,16559.9,2550.99866855
2023-01-01 16:00:00+00:00,16560.0,16581.8,16559.9,16576.9,5289.44165874
2023-01-01 16:30:00+00:00,16577.0,16580.0,16562.7,16564.7,2145.36626405
2023-01-01 17:00:00+00:00,16564.8,16595.9,16564.8,16586.1,4460.1471914
2023-01-01 17:30:00+00:00,16586.0,16589.0,16576.0,16580.8,2782.47627643
2023-01-01 18:00:00+00:00,16582.0,16603.3,16582.0,16593.8,4739.39321787
2023-01-01 18:30:00+00:00,16594.5,16599.0,16590.4,16592.5,2177.9746738
