ts,symbol,tf,strategy,side,entry,exit,exit_reason,partial,pnl,rr,bars_open,mfe_atr,mae_atr
1976,,,Trend,,,,,False,0.0,1.8,,,
1982,,,Trend,,,,time_stop,False,-4069.0266950586674,,,,
