ts,symbol,tf,strategy,side,entry,exit,exit_reason,partial,pnl,rr,bars_open,mfe_atr,mae_atr
191,,,MeanRevert,,,,,False,0.0,1.4,,,
192,,,MeanRevert,,,,,True,1007.1943867895285,,,,
192,,,MeanRevert,,,,sl,False,45.82020921263711,,,,
911,,,MeanRevert,,,,,False,0.0,1.4,,,
914,,,MeanRevert,,,,,True,1045.6695430564132,,,,
914,,,MeanRevert,,,,sl,False,-9.360272835028866,,,,
